date	temp
06:35	14
06:36	14
06:41	14
06:46	14
06:51	14
06:56	14
07:01	14
07:06	14
07:11	14
07:16	14
07:21	14
07:26	14
07:31	14
07:36	14
07:41	14
07:46	14
07:51	14
07:54	14
07:56	14
08:01	14
08:07	14
08:11	14
08:17	14
08:22	14
08:27	14
08:32	14
08:37	14
08:42	15
08:47	15
08:52	15
08:57	15
09:02	16
09:07	16
09:12	16
09:17	16
09:22	16
09:27	16
09:32	16
09:37	16
09:42	16
09:47	16
09:52	16
09:57	16
10:02	16
10:07	16
10:12	17
10:17	17
10:22	17
10:27	17
10:32	17
10:37	17
10:42	17
10:48	17
10:53	17
10:57	17
11:03	17
11:08	17
11:13	17
11:18	17
11:23	17
11:28	17
11:32	17
11:38	17
11:43	17
11:48	17
11:53	17
11:58	17
12:03	18
12:08	18
12:13	18
12:18	18
12:23	18
12:28	18
12:33	18
12:38	18
12:43	18
12:48	18
12:53	18
12:58	18
13:03	18
13:08	18
13:13	18
13:18	18
13:23	18
13:28	18
13:33	18
13:38	18
13:43	18
13:48	18
13:54	18
13:59	18
14:03	18
14:09	18
14:14	18
14:19	18
14:24	18
14:29	18
14:34	18
14:39	18
14:44	18
14:49	18
14:54	18
14:59	18
15:04	18
15:09	18
15:14	18
15:19	17
15:24	18
15:29	18
15:34	18
15:39	18
15:44	18
15:49	18
15:54	17
15:59	17
16:04	17
16:09	17
16:14	17
16:19	17
16:24	17
16:29	17
16:34	17
16:39	17
16:44	17
16:49	16
16:54	16
16:59	16
17:04	16
17:09	16
17:15	16
17:20	16
17:25	16
17:30	16
17:35	15
17:40	15
17:45	15
17:50	15
17:55	15
18:00	15
18:05	15
18:10	15
18:15	15
18:20	14
18:25	14
18:30	14
18:35	14
18:40	14
18:45	14
18:50	14
18:55	14
19:00	14
19:07	14
19:09	14
20:41	15
20:43	15

